age,education,experience,jobclass,region,salary
46,SomeCollege,29,Industrial,South,50892
35,SomeCollege,9,Information,West,43980
43,<HS,22,Industrial,South,68621
61,College,10,Information,South,50371
51,College,1,Industrial,South,23555
27,SomeCollege,25,Industrial,East,62247
53,Advanced,35,Industrial,South,78594
31,SomeCollege,32,Industrial,South,52323
48,Advanced,12,Industrial,West,53488
32,College,39,Industrial,South,38301
25,SomeCollege,24,Industrial,South,46363
31,HS,3,Information,East,57543
40,College,18,Information,West,66976
57,SomeCollege,17,Information,East,56690
38,HS,36,Industrial,East,77270
33,<HS,29,Information,East,51477
62,SomeCollege,18,Industrial,South,33174
35,SomeCollege,22,Industrial,East,33604
64,College,15,Information,East,68516
41,College,0,Information,West,65106
43,<HS,11,Industrial,West,25330
42,College,23,Information,West,46857
62,HS,33,Industrial,West,47402
58,College,7,Information,East,38727
46,College,17,Industrial,West,28844
32,SomeCollege,4,Information,South,38395
62,College,25,Industrial,East,35699
18,HS,29,Information,West,29202
42,SomeCollege,12,Information,East,62435
24,College,18,Information,West,54244
26,SomeCollege,28,Information,East,43038
41,HS,2,Industrial,West,18941
18,SomeCollege,25,Industrial,South,45513
61,College,39,Information,West,57815
25,HS,11,Information,East,38959
41,HS,1,Information,East,32750
28,College,10,Industrial,South,48154
34,College,27,Industrial,East,55026
25,HS,17,Information,South,20001
52,HS,12,Industrial,East,70310
52,HS,36,Industrial,East,31263
50,HS,21,Industrial,South,43658
22,SomeCollege,11,Industrial,East,67719
59,College,1,Industrial,East,51880
56,College,36,Industrial,South,66441
58,SomeCollege,6,Information,West,73305
45,HS,25,Industrial,South,28104
24,College,25,Information,East,63530
26,SomeCollege,23,Information,West,69882
25,Advanced,11,Information,West,44362
29,SomeCollege,15,Industrial,West,45556
51,HS,22,Information,South,21304
50,College,39,Information,West,61716
40,HS,8,Information,West,11976
41,College,31,Information,West,64532
54,<HS,14,Information,East,28734
52,HS,36,Industrial,South,70860
61,College,12,Industrial,South,55944
57,HS,4,Information,East,65134
39,College,10,Industrial,West,37808
44,HS,9,Industrial,East,29998
52,SomeCollege,12,Information,East,23545
18,College,14,Industrial,West,66368
52,SomeCollege,6,Industrial,West,59944
54,HS,39,Information,South,60476
64,HS,27,Information,West,54371
31,<HS,31,Industrial,East,58158
20,HS,34,Industrial,East,45625
18,College,14,Information,West,55554
22,Advanced,35,Information,South,37147
43,College,20,Information,East,44859
31,College,5,Industrial,West,95649
56,College,0,Information,South,50583
44,College,3,Information,South,20425
26,HS,10,Industrial,East,43871
32,Advanced,25,Information,East,34137
32,College,36,Information,South,52388
43,SomeCollege,22,Information,South,36659
59,HS,28,Industrial,South,46822
30,SomeCollege,20,Information,West,38902
49,SomeCollege,26,Industrial,East,52957
56,College,38,Information,South,40589
49,SomeCollege,39,Information,East,55353
21,HS,12,Information,East,79228
47,Advanced,22,Information,East,32683
54,HS,15,Industrial,South,60857
40,SomeCollege,29,Information,West,13207
56,<HS,3,Industrial,South,46508
62,College,39,Information,East,53433
32,Advanced,15,Industrial,South,38779
60,HS,30,Industrial,South,23189
46,College,24,Industrial,East,49429
53,HS,11,Information,East,72981
30,Advanced,25,Information,South,47803
49,College,36,Information,South,58378
24,College,32,Industrial,South,66903
39,<HS,27,Information,South,87072
45,Advanced,8,Industrial,West,34215
19,College,11,Industrial,South,35763
59,HS,4,Information,West,45616
62,College,27,Industrial,East,59231
23,HS,34,Industrial,West,15189
45,College,4,Industrial,East,59806
45,HS,33,Information,West,52223
61,College,33,Information,East,41990
61,SomeCollege,12,Information,South,56382
37,<HS,38,Industrial,West,63344
47,HS,13,Industrial,West,65420
28,<HS,10,Information,East,50221
45,SomeCollege,37,Industrial,East,54890
42,HS,3,Information,West,54324
56,SomeCollege,32,Industrial,East,68467
50,HS,6,Industrial,South,55718
18,HS,7,Industrial,West,59678
44,College,36,Industrial,South,63389
30,<HS,9,Information,West,79378
58,Advanced,14,Information,South,41212
20,College,37,Industrial,West,74385
56,College,14,Information,East,87066
23,SomeCollege,4,Information,West,42169
25,College,28,Industrial,South,46748
44,HS,18,Information,West,43573
26,<HS,9,Industrial,South,59853
54,HS,11,Industrial,South,22074
50,College,3,Industrial,South,42507
59,<HS,30,Industrial,East,45895
61,SomeCollege,17,Industrial,West,44583
41,Advanced,15,Industrial,South,44432
32,College,39,Industrial,East,42661
49,SomeCollege,35,Information,South,61660
49,<HS,24,Industrial,West,58073
41,College,22,Industrial,East,75551
58,SomeCollege,11,Information,South,61699
29,HS,33,Information,South,33536
56,<HS,35,Industrial,South,47449
19,Advanced,36,Information,West,45856
20,College,2,Industrial,East,53828
54,College,8,Industrial,East,66398
34,College,17,Information,East,52787
19,SomeCollege,34,Industrial,South,52827
19,SomeCollege,33,Information,East,50150
45,SomeCollege,13,Industrial,South,62158
40,HS,3,Information,West,41466
54,SomeCollege,28,Industrial,East,28144
49,College,14,Information,South,59668
50,SomeCollege,27,Information,East,55627
18,College,15,Information,East,69851
36,SomeCollege,11,Information,West,13581
19,SomeCollege,4,Information,East,48494
61,SomeCollege,33,Information,West,51600
43,SomeCollege,0,Information,East,27336
49,College,38,Industrial,East,48701
23,HS,31,Industrial,East,67803
49,SomeCollege,25,Industrial,East,81291
21,HS,16,Industrial,East,64736
28,HS,26,Information,East,45132
34,SomeCollege,23,Information,West,68922
55,College,34,Information,West,63671
41,Advanced,38,Industrial,South,42734
22,SomeCollege,25,Industrial,East,41273
51,College,37,Information,West,47472
23,SomeCollege,22,Information,East,34237
39,SomeCollege,21,Information,East,45338
28,<HS,3,Industrial,West,57301
33,HS,8,Industrial,East,65577
50,HS,3,Information,West,44317
26,SomeCollege,6,Information,West,70826
23,<HS,22,Industrial,South,59751
33,HS,1,Industrial,South,60434
46,HS,23,Information,South,36214
20,Advanced,39,Industrial,South,77116
37,HS,30,Information,East,58300
53,SomeCollege,30,Industrial,East,45009
36,HS,39,Industrial,South,42363
43,SomeCollege,33,Information,West,45343
20,HS,23,Information,West,34724
36,HS,25,Industrial,West,64824
37,SomeCollege,15,Information,West,36261
49,<HS,12,Industrial,East,54347
24,<HS,14,Industrial,West,43251
58,HS,26,Industrial,West,60061
50,<HS,3,Information,South,62100
57,HS,15,Information,West,40341
56,HS,29,Industrial,East,49491
35,College,29,Information,West,28349
57,SomeCollege,35,Industrial,West,75508
18,SomeCollege,2,Industrial,East,66020
28,HS,21,Information,South,29066
45,Advanced,21,Industrial,East,36996
42,HS,11,Information,South,47977
40,<HS,20,Information,West,50581
48,SomeCollege,3,Industrial,South,39709
47,HS,30,Industrial,South,32826
59,HS,30,Information,South,55925
52,SomeCollege,22,Industrial,West,76092
24,College,19,Information,South,50819
33,SomeCollege,14,Information,South,45624
43,College,22,Information,West,44047
19,Advanced,27,Industrial,East,33549
18,HS,15,Information,East,39920
29,HS,36,Information,East,67041
22,HS,20,Information,West,18937
54,SomeCollege,14,Industrial,West,51051
49,SomeCollege,16,Information,East,50419
26,Advanced,36,Information,South,51775
58,College,12,Information,East,60911
52,SomeCollege,18,Industrial,West,50917
36,HS,29,Industrial,South,43190
33,College,17,Information,South,40150
20,Advanced,13,Industrial,West,69475
37,College,35,Information,South,65615
41,<HS,35,Industrial,East,93164
50,SomeCollege,19,Information,West,45785
41,<HS,18,Information,West,40426
28,HS,6,Information,West,56797
25,<HS,3,Industrial,West,56435
53,SomeCollege,33,Industrial,South,59545
55,College,1,Information,West,62706
57,HS,4,Industrial,West,59400
37,HS,9,Information,South,66125
52,SomeCollege,31,Information,West,68120
42,HS,12,Information,South,68387
52,HS,38,Industrial,South,16079
42,SomeCollege,4,Industrial,West,53485
46,College,9,Information,East,36151
35,<HS,9,Information,West,65831
63,<HS,37,Information,East,15765
35,HS,26,Information,South,72038
19,Advanced,20,Information,East,37029
52,College,7,Information,West,33592
33,College,0,Information,West,55343
58,HS,27,Information,East,44400
53,SomeCollege,38,Information,West,76690
50,<HS,13,Information,East,70445
21,SomeCollege,20,Information,South,42337
50,Advanced,29,Industrial,East,65637
31,SomeCollege,20,Information,East,41820
38,College,8,Industrial,East,41691
37,College,16,Information,East,60712
25,HS,4,Information,South,71837
24,Advanced,30,Information,South,43383
20,<HS,39,Information,South,44526
34,SomeCollege,37,Information,East,54518
50,HS,18,Industrial,South,36590
29,<HS,35,Information,West,73481
39,SomeCollege,32,Information,South,36446
39,HS,12,Industrial,East,40502
63,SomeCollege,13,Information,West,76508
47,SomeCollege,32,Industrial,East,53218
55,<HS,28,Information,West,79153
55,HS,35,Industrial,East,46710
62,SomeCollege,9,Information,East,87792
25,HS,30,Information,West,59234
44,College,5,Industrial,South,38713
44,College,0,Information,West,38482
51,College,6,Information,West,28141
38,College,26,Industrial,West,29782
47,SomeCollege,20,Information,West,40107
50,College,27,Information,West,35126
45,HS,15,Industrial,East,11331
64,HS,22,Information,East,62622
50,College,19,Industrial,South,61630
22,SomeCollege,37,Industrial,South,54625
36,College,24,Information,West,32975
21,College,27,Information,South,74701
52,College,4,Information,South,47327
34,Advanced,20,Information,West,37501
61,SomeCollege,17,Industrial,East,53488
45,HS,5,Information,East,52628
47,SomeCollege,28,Information,South,12458
46,HS,18,Industrial,East,49535
63,SomeCollege,32,Industrial,East,51808
23,College,0,Information,South,44318
52,College,2,Information,West,30178
58,HS,20,Industrial,South,30620
54,HS,34,Industrial,South,57710
41,SomeCollege,39,Industrial,South,61424
46,HS,2,Information,West,43279
63,College,24,Information,West,55734
48,HS,37,Information,West,43131
52,HS,19,Information,West,37201
50,<HS,33,Industrial,South,53217
38,SomeCollege,20,Industrial,East,32763
49,SomeCollege,22,Industrial,South,78406
40,HS,5,Information,West,28437
50,<HS,12,Industrial,East,54257
20,SomeCollege,22,Industrial,South,52253
35,HS,8,Industrial,East,50922
42,College,16,Information,West,72250
59,SomeCollege,1,Information,East,9706
48,HS,18,Industrial,East,56175
20,HS,18,Information,West,45899
57,Advanced,6,Industrial,East,58759
63,SomeCollege,19,Information,South,50820
41,College,8,Industrial,East,48874
49,HS,16,Industrial,South,31890
64,SomeCollege,26,Industrial,East,39902
39,<HS,1,Information,East,96972
40,SomeCollege,35,Industrial,West,58896
19,Advanced,18,Industrial,West,65788
44,HS,16,Information,South,44721
59,<HS,4,Industrial,West,37165
19,<HS,38,Information,West,61646
43,HS,17,Information,West,21444
34,HS,6,Information,West,40238
57,<HS,16,Industrial,West,44681
50,College,38,Information,South,64174
26,SomeCollege,35,Industrial,South,56205
60,HS,39,Information,West,42906
56,Advanced,3,Information,West,55534
46,HS,37,Industrial,South,45452
59,Advanced,24,Industrial,East,66050
43,HS,4,Industrial,South,53542
52,College,29,Information,East,76046
42,SomeCollege,11,Information,West,45833
41,College,3,Industrial,West,68380
30,Advanced,23,Industrial,South,51356
24,HS,28,Information,West,39541
53,Advanced,8,Information,East,89023
62,HS,3,Industrial,East,69645
37,HS,23,Information,South,53514
18,HS,13,Industrial,East,61489
25,SomeCollege,4,Information,South,33769
63,HS,17,Information,South,34297
33,SomeCollege,18,Industrial,East,66711
31,SomeCollege,11,Information,East,50071
29,College,17,Information,East,47662
40,College,16,Industrial,East,45680
32,SomeCollege,29,Information,East,52281
45,HS,23,Information,East,46186
51,HS,10,Industrial,East,19517
19,HS,34,Information,West,71238
49,<HS,22,Information,South,48341
40,HS,16,Information,South,77472
39,HS,0,Information,East,23567
42,Advanced,14,Industrial,South,23508
39,SomeCollege,31,Industrial,East,45868
39,HS,8,Information,West,64662
59,SomeCollege,14,Industrial,South,31704
23,HS,27,Industrial,South,31122
32,SomeCollege,23,Information,West,55579
60,SomeCollege,34,Industrial,West,45306
54,SomeCollege,21,Information,West,58161
50,SomeCollege,26,Industrial,South,45575
25,Advanced,18,Industrial,South,55777
61,College,11,Information,West,70491
61,SomeCollege,19,Information,West,31736
22,SomeCollege,0,Information,West,67771
56,SomeCollege,20,Information,West,24437
21,HS,0,Information,West,59140
23,HS,9,Industrial,East,71289
62,<HS,31,Information,West,42138
49,SomeCollege,38,Information,East,59668
47,SomeCollege,21,Industrial,South,42693
64,HS,17,Information,South,58780
52,Advanced,31,Industrial,East,16122
57,Advanced,26,Industrial,West,52432
33,College,27,Information,South,55930
30,SomeCollege,17,Information,West,70170
59,College,38,Information,West,63878
47,HS,28,Industrial,East,47581
36,College,17,Information,South,54020
34,HS,7,Industrial,South,28308
36,College,30,Industrial,East,74661
45,HS,33,Information,West,60367
43,College,6,Industrial,West,22086
54,Advanced,35,Information,South,53689
43,HS,17,Industrial,East,54835
40,SomeCollege,37,Information,East,38390
26,Advanced,8,Industrial,West,51452
29,SomeCollege,8,Information,West,36882
18,College,7,Industrial,East,28931
18,SomeCollege,34,Information,South,40799
64,HS,17,Information,West,52573
51,HS,4,Information,East,63924
49,HS,13,Information,East,51047
42,College,27,Industrial,East,64071
57,HS,29,Industrial,South,59730
62,SomeCollege,3,Information,West,34469
18,SomeCollege,38,Information,West,59616
33,SomeCollege,19,Information,West,60031
56,College,24,Information,South,76127
22,Advanced,27,Information,West,56159
39,SomeCollege,11,Information,West,31479
46,College,1,Information,West,41688
20,College,13,Information,West,22211
29,SomeCollege,21,Industrial,South,57657
43,Advanced,30,Information,East,74809
33,HS,22,Information,East,14132
54,HS,19,Industrial,West,75443
39,College,37,Industrial,West,57458
46,SomeCollege,3,Information,West,33851
31,College,14,Industrial,South,53850
45,College,23,Industrial,West,34335
22,<HS,24,Information,South,56606
64,College,0,Information,West,50950
47,SomeCollege,6,Information,West,54940
63,SomeCollege,30,Information,East,36215
22,SomeCollege,11,Information,West,38400
29,Advanced,4,Industrial,South,57527
33,<HS,37,Information,East,42459
43,SomeCollege,11,Information,South,52235
43,College,38,Information,East,56794
38,College,17,Information,South,46664
56,College,1,Industrial,East,67326
53,HS,9,Information,South,47216
50,HS,14,Industrial,South,46766
47,HS,29,Information,West,40524
54,College,16,Information,East,65599
40,HS,3,Industrial,East,39391
27,HS,6,Information,West,68817
22,Advanced,30,Information,South,52446
53,<HS,38,Industrial,South,90231
51,Advanced,33,Information,East,40093
48,College,5,Industrial,South,69127
27,College,37,Industrial,East,57653
36,HS,33,Information,East,42293
49,<HS,14,Information,South,57855
18,College,13,Information,South,57124
22,College,5,Information,South,45020
62,College,36,Industrial,West,56424
21,HS,31,Industrial,East,67451
33,College,2,Information,South,57670
41,College,2,Information,West,43712
33,College,21,Information,South,42867
19,College,21,Information,East,48688
45,College,9,Industrial,West,66686
49,SomeCollege,2,Information,East,38693
44,<HS,11,Industrial,South,55881
37,SomeCollege,28,Industrial,South,26562
41,<HS,16,Industrial,South,58919
29,SomeCollege,6,Information,West,61276
52,SomeCollege,12,Industrial,West,80414
50,<HS,1,Industrial,West,63879
50,HS,3,Industrial,West,43981
60,HS,9,Information,South,26981
54,College,38,Information,South,57712
29,Advanced,23,Industrial,South,45091
20,<HS,16,Information,West,55011
18,Advanced,5,Information,West,39197
50,SomeCollege,18,Industrial,South,47402
57,HS,4,Information,South,24500
27,<HS,31,Information,West,34306
60,SomeCollege,9,Information,East,32190
61,College,8,Industrial,South,63091
46,College,26,Information,South,37591
30,<HS,12,Industrial,South,70668
29,<HS,18,Information,West,37738
48,SomeCollege,20,Information,South,81439
63,HS,23,Industrial,South,20767
19,HS,37,Information,South,56364
52,HS,3,Industrial,South,50578
40,College,23,Information,South,31828
34,Advanced,34,Information,East,41736
43,SomeCollege,2,Information,East,46080
25,Advanced,3,Information,South,53747
46,HS,36,Industrial,South,35953
43,SomeCollege,39,Industrial,South,56379
27,HS,34,Information,South,51795
43,SomeCollege,30,Information,West,61687
51,Advanced,24,Industrial,West,37064
58,SomeCollege,39,Information,West,43860
24,HS,12,Information,East,71631
21,SomeCollege,3,Industrial,South,36409
62,HS,13,Industrial,West,29112
28,College,12,Industrial,South,40535
46,SomeCollege,26,Industrial,South,23360
53,SomeCollege,5,Industrial,East,75093
42,SomeCollege,16,Information,East,45758
38,SomeCollege,35,Information,West,45903
53,<HS,39,Information,West,61137
27,College,34,Industrial,East,39116
54,HS,16,Industrial,East,46761
26,College,1,Industrial,South,38720
41,College,12,Industrial,South,23674
52,College,1,Industrial,West,50761
52,SomeCollege,27,Industrial,West,65385
53,SomeCollege,25,Information,East,51189
35,HS,21,Industrial,West,63796
56,College,2,Information,South,33563
49,HS,34,Information,East,38689
41,SomeCollege,11,Industrial,South,30585
40,HS,23,Industrial,East,55498
49,HS,4,Information,East,45235
54,SomeCollege,19,Information,South,44674
29,<HS,38,Industrial,West,60034
30,College,38,Industrial,West,42905
40,HS,12,Industrial,West,66195
42,<HS,11,Information,West,53534
52,SomeCollege,12,Information,South,44507
58,<HS,9,Information,East,26725
47,HS,32,Information,South,59949
34,College,39,Information,West,54244
37,<HS,15,Industrial,West,54966
42,College,34,Information,South,55444
39,<HS,2,Information,East,42063
30,HS,4,Information,South,47729
36,College,25,Information,South,43121
53,HS,10,Industrial,South,68750
29,HS,6,Industrial,East,45873
58,HS,9,Industrial,South,40711
36,HS,33,Information,South,69781
29,College,2,Information,West,68149
26,HS,7,Information,South,53545
24,College,30,Information,West,48051
45,College,10,Industrial,West,44306
31,SomeCollege,6,Information,West,49340
48,Advanced,1,Industrial,East,36879
36,HS,5,Information,West,57250
64,Advanced,31,Industrial,South,74787
33,<HS,19,Industrial,South,58439
22,College,33,Industrial,West,33451
52,SomeCollege,15,Information,West,56826
29,HS,24,Industrial,South,52918
42,SomeCollege,11,Industrial,West,56694
38,College,6,Information,East,37706
53,<HS,38,Information,West,50050
40,HS,16,Industrial,East,63246
33,College,10,Industrial,East,33950
56,College,5,Information,East,43263
62,Advanced,22,Information,West,45682
59,College,26,Industrial,East,64975
56,Advanced,5,Information,East,67212
31,College,37,Information,West,21273
48,HS,1,Information,East,64962
22,HS,21,Industrial,West,67684
52,College,19,Information,South,66720
40,SomeCollege,24,Industrial,East,42055
46,<HS,14,Information,West,46552
60,HS,28,Industrial,South,26488
28,Advanced,7,Industrial,East,18575
35,SomeCollege,36,Information,East,44577
64,SomeCollege,32,Information,West,51147
29,SomeCollege,21,Information,South,52651
26,HS,4,Information,West,62317
27,HS,38,Industrial,East,95917
61,HS,17,Information,East,44060
34,<HS,37,Industrial,East,34166
55,College,36,Information,East,58192
24,SomeCollege,29,Information,South,53333
63,College,30,Information,South,41382
30,College,9,Information,West,63662
57,HS,14,Information,West,37820
59,College,17,Industrial,West,48071
26,SomeCollege,22,Information,East,48936
44,College,32,Information,West,35784
19,HS,15,Industrial,South,24354
22,College,37,Industrial,West,53284
46,SomeCollege,34,Information,West,70530
54,HS,33,Industrial,South,64413
55,HS,27,Information,South,65416
36,College,1,Industrial,East,38015
25,College,29,Industrial,South,53211
62,HS,12,Industrial,South,28637
18,SomeCollege,15,Industrial,West,52533
39,HS,4,Information,South,70831
34,College,27,Industrial,East,71297
24,HS,38,Information,West,80456
42,College,19,Information,East,64837
62,HS,23,Information,South,57136
21,HS,26,Industrial,East,63120
53,<HS,29,Industrial,East,60208
23,HS,26,Information,South,37891
48,SomeCollege,25,Industrial,South,27270
36,HS,6,Industrial,West,63241
61,College,37,Information,West,81400
56,<HS,4,Information,West,63859
44,HS,22,Industrial,South,21669
27,HS,27,Information,East,42210
43,<HS,33,Information,East,47049
36,HS,14,Industrial,West,22159
56,SomeCollege,31,Industrial,West,29346
20,SomeCollege,25,Industrial,South,49443
62,SomeCollege,30,Industrial,East,53924
30,SomeCollege,18,Information,West,35209
45,SomeCollege,8,Information,South,28655
37,<HS,28,Industrial,West,67899
45,SomeCollege,38,Information,South,44262
25,Advanced,3,Industrial,East,46408
58,SomeCollege,2,Information,South,41799
56,College,28,Information,West,38432
18,HS,10,Information,West,69541
20,College,32,Industrial,East,36803
30,College,37,Information,East,52695
45,SomeCollege,10,Information,West,50130
42,Advanced,26,Information,West,20777
50,HS,32,Industrial,West,53614
55,<HS,20,Information,East,26840
23,College,38,Information,West,59531
61,College,30,Information,East,32203
62,HS,37,Industrial,West,57830
49,HS,1,Information,South,43557
62,<HS,26,Information,South,39885
64,HS,35,Information,West,53158
38,College,10,Information,South,27922
33,SomeCollege,17,Industrial,East,48961
38,HS,0,Information,South,61733
28,HS,34,Industrial,South,65639
54,<HS,34,Industrial,East,43060
53,HS,30,Information,South,45250
52,SomeCollege,27,Industrial,South,27621
36,Advanced,38,Industrial,West,38739
37,College,0,Industrial,East,26598
35,<HS,24,Information,East,56601
64,College,37,Information,West,62632
58,College,19,Information,West,43186
31,College,2,Industrial,South,34126
32,SomeCollege,1,Information,South,54622
48,HS,17,Information,South,36980
18,HS,9,Information,West,60079
20,<HS,4,Information,East,79031
33,HS,8,Information,South,36733
40,HS,1,Information,West,38874
28,SomeCollege,33,Information,East,28106
29,College,37,Industrial,West,52191
27,SomeCollege,30,Information,South,51171
49,<HS,9,Industrial,West,45941
33,Advanced,11,Information,West,50242
25,Advanced,35,Information,West,34344
55,College,20,Industrial,West,25052
29,Advanced,5,Industrial,East,38613
41,SomeCollege,2,Information,South,21267
45,Advanced,9,Industrial,East,36732
25,<HS,4,Industrial,West,54645
45,HS,25,Industrial,West,50894
53,HS,20,Information,South,23393
43,HS,25,Information,South,65740
25,HS,37,Industrial,East,47081
45,SomeCollege,25,Industrial,East,30510
45,College,7,Information,South,44534
54,SomeCollege,4,Industrial,East,41254
58,HS,14,Information,West,36983
53,College,15,Information,West,62188
44,SomeCollege,0,Information,South,33405
34,HS,15,Industrial,East,52769
26,College,36,Information,West,29880
50,HS,2,Industrial,South,49446
37,HS,30,Information,East,53981
30,Advanced,12,Industrial,West,54010
45,HS,15,Industrial,East,51212
46,SomeCollege,20,Industrial,East,46414
30,College,1,Industrial,East,34038
63,College,26,Information,South,34211
52,<HS,37,Information,West,54482
23,HS,25,Information,South,31078
35,<HS,37,Information,West,27639
22,SomeCollege,24,Industrial,West,71446
64,SomeCollege,10,Information,South,46104
42,HS,7,Information,South,59525
19,Advanced,7,Information,West,63102
27,SomeCollege,32,Information,West,50766
47,HS,6,Information,West,44348
62,SomeCollege,37,Industrial,East,44603
22,College,20,Information,West,74120
50,<HS,7,Information,South,41617
18,HS,20,Industrial,South,52646
35,College,19,Industrial,South,60159
49,SomeCollege,7,Information,West,53760
64,SomeCollege,30,Industrial,West,66265
28,SomeCollege,28,Information,East,44200
38,<HS,8,Information,East,60100
43,HS,14,Information,South,23080
42,SomeCollege,29,Information,East,70203
39,HS,25,Industrial,East,66847
44,<HS,9,Information,South,45433
30,College,28,Information,West,56582
50,Advanced,15,Industrial,East,63365
51,College,35,Information,West,34433
58,College,19,Information,South,47832
52,HS,36,Industrial,South,30413
18,Advanced,21,Information,East,67076
38,HS,6,Industrial,South,62341
23,Advanced,22,Information,South,45785
45,Advanced,39,Industrial,South,44046
34,College,28,Information,East,47765
22,Advanced,15,Industrial,East,36541
48,SomeCollege,37,Information,East,47389
22,HS,27,Industrial,South,34434
55,SomeCollege,37,Information,West,63474
20,SomeCollege,30,Information,South,67054
40,<HS,13,Information,East,64177
54,SomeCollege,32,Industrial,West,32087
54,Advanced,8,Industrial,West,46873
27,HS,26,Information,East,58770
27,College,23,Information,West,61531
36,Advanced,12,Industrial,West,22417
34,Advanced,25,Information,East,61107
38,Advanced,28,Industrial,West,31350
31,SomeCollege,27,Industrial,West,47690
26,Advanced,27,Industrial,East,68862
63,College,7,Information,West,66831
18,HS,22,Information,West,69891
62,SomeCollege,28,Industrial,West,34005
30,College,4,Industrial,West,37710
21,HS,6,Industrial,East,41557
18,SomeCollege,35,Information,South,47803
57,College,26,Information,South,53250
49,HS,1,Information,West,69158
51,SomeCollege,24,Industrial,East,36070
45,College,8,Information,East,40567
48,SomeCollege,26,Information,West,71354
25,<HS,0,Information,South,32614
56,<HS,22,Information,West,60902
43,HS,9,Industrial,East,48670
51,Advanced,24,Information,East,55821
20,HS,2,Information,South,37829
29,SomeCollege,5,Information,East,60607
18,HS,5,Information,East,40186
61,HS,1,Information,East,28706
22,College,17,Information,South,57200
47,College,22,Industrial,East,12453
47,<HS,1,Information,West,41479
34,SomeCollege,11,Information,South,54367
64,<HS,21,Information,West,61366
40,SomeCollege,36,Industrial,West,68397
32,College,19,Information,South,76663
54,HS,38,Industrial,West,72076
38,HS,23,Information,South,52873
31,HS,19,Industrial,West,66884
19,Advanced,0,Information,South,52641
28,Advanced,0,Industrial,East,60288
56,<HS,16,Information,East,41009
55,College,0,Information,West,56931
51,HS,29,Industrial,East,42901
55,HS,2,Information,South,47396
51,College,10,Industrial,West,56978
35,Advanced,23,Information,East,81370
47,Advanced,21,Industrial,East,55921
32,SomeCollege,25,Industrial,West,49824
44,HS,12,Industrial,East,37523
51,College,0,Industrial,East,63443
55,HS,23,Industrial,West,44968
50,SomeCollege,9,Industrial,East,55612
41,HS,34,Information,East,60529
32,College,23,Information,East,68961
47,HS,27,Industrial,East,62635
59,HS,35,Industrial,West,31648
34,Advanced,15,Industrial,South,24242
22,HS,39,Industrial,South,60522
46,SomeCollege,15,Industrial,East,51290
21,HS,16,Information,East,55872
27,<HS,14,Information,South,75796
34,<HS,15,Information,East,40751
27,HS,14,Information,South,69371
34,College,33,Information,West,40900
37,HS,10,Industrial,West,73479
41,Advanced,0,Industrial,West,61257
22,SomeCollege,14,Information,West,27393
51,SomeCollege,25,Information,West,43740
23,SomeCollege,3,Information,West,78735
19,SomeCollege,4,Information,South,76852
30,College,34,Information,East,59063
60,HS,12,Information,South,55313
60,HS,9,Information,West,53596
28,College,10,Information,East,56555
64,Advanced,17,Industrial,East,47887
40,College,33,Information,West,68165
33,SomeCollege,38,Information,West,58667
