edad_cliente,tiempo_como_cliente_meses,ingresos_mensuales,visitas_mensuales_sitio_web,contactos,nivel_educativo,uso_tarjeta_credito,participa_en_promociones,calificacion_satisfaccion,descuento_promedio_usado,ventas_cliente
67,104,2900,6,3,4,1,1,3,0.07,618.07
59,104,3530,10,4,4,1,0,4,0,641.78
45,67,2190,2,3,1,1,0,3,0,232.3
21,116,3450,9,0,4,0,1,3,0.23,664.97
42,56,3060,4,4,3,0,1,2,0.1,436.56
40,103,3230,4,0,3,1,1,4,0.19,771.13
65,107,1910,4,1,1,1,1,4,0.16,585
26,62,3440,1,0,1,1,1,1,0.3,504.14
69,47,2930,6,3,3,0,1,3,0.12,502.86
51,54,3610,5,0,3,1,0,5,0,521.66
48,94,3340,0,0,3,1,1,5,0.2,385.27
47,103,2710,4,3,2,0,1,1,0.01,410.89
60,61,1900,8,4,1,1,1,3,0.23,532.45
62,71,3400,7,0,4,0,1,4,0.16,549.85
40,71,4580,8,1,1,0,1,5,0.12,670.99
66,112,3200,1,2,3,1,1,4,0.01,419.62
18,31,3210,5,1,1,1,1,4,0.27,280.75
58,13,2730,7,1,4,1,1,4,0.06,523.33
59,115,2670,7,4,3,1,1,5,0.07,491.15
45,17,3390,4,4,4,0,1,4,0.2,386.06
51,24,2470,3,3,3,1,1,2,0.29,351.6
63,93,1270,6,1,3,1,1,1,0.06,517.16
54,36,2780,6,3,3,0,1,5,0.17,377.94
22,12,2010,3,0,4,1,1,4,0.06,330.25
57,106,3170,1,2,2,0,1,3,0.15,380.02
58,88,3770,6,2,4,0,1,4,0.21,499.48
33,16,2900,5,1,1,0,1,3,0.14,490.18
57,111,3030,4,1,3,0,1,4,0.26,669.53
60,19,3250,8,2,1,1,1,5,0.02,198.67
59,113,4160,1,1,3,0,0,4,0,739.85
33,84,3180,8,5,3,0,0,2,0,276.6
60,58,2740,5,2,4,1,1,4,0.09,546.01
38,110,2900,1,3,3,1,1,4,0.15,552.47
22,79,3600,6,2,2,0,0,3,0,257.06
55,4,4040,4,2,2,0,1,3,0.15,423.36
35,50,2820,3,2,3,0,1,5,0.29,272.05
44,6,2790,6,3,3,1,1,2,0.05,222.61
63,112,3990,2,4,4,0,1,5,0.07,644.74
59,68,2910,2,1,4,1,1,3,0.11,466.25
39,82,3310,6,0,4,1,0,1,0,535.78
28,76,3620,5,1,1,1,1,2,0.12,464.47
33,82,3330,5,2,1,0,1,5,0.05,482.95
40,114,2920,3,2,4,1,1,1,0.08,696.43
43,102,2210,3,1,2,1,0,4,0,405.64
58,55,4180,7,2,1,1,1,4,0.15,589.78
61,112,1860,4,1,1,1,1,5,0,697.82
50,109,4100,4,3,4,1,1,1,0.03,641.12
48,13,3650,5,2,1,0,1,4,0.1,215.31
39,91,2570,10,2,2,1,1,4,0.17,443.33
67,100,4160,5,3,4,0,1,2,0.23,589.36
20,83,2420,4,2,1,1,1,3,0.25,559.19
41,58,4430,2,3,4,1,1,4,0.1,352.51
51,100,2550,5,3,3,1,0,1,0,488.79
62,101,1970,6,0,4,1,1,5,0.01,607.27
30,24,2690,4,2,4,0,0,5,0,322.03
65,61,1940,6,2,1,0,1,5,0.09,385.32
50,11,2140,4,1,3,1,1,1,0.06,234.86
31,1,2980,7,1,2,0,1,3,0.25,482.39
27,106,2850,6,0,2,0,1,3,0.23,391.27
31,61,2140,6,0,2,0,0,5,0,252.75
55,21,2630,5,0,2,0,1,2,0.04,353.77
48,44,2430,5,3,2,0,1,3,0.02,300.26
44,39,1030,3,1,3,0,1,1,0.24,384.68
40,111,2130,7,1,3,0,0,3,0,432.06
35,50,3830,4,1,1,0,0,2,0,284.77
47,47,2720,6,0,1,0,0,5,0,275.51
63,41,2770,0,1,4,1,1,2,0.25,371.21
45,76,2790,5,0,3,0,1,4,0.27,502.19
38,10,2020,7,0,4,1,1,3,0.02,363.17
34,109,2610,5,1,2,0,1,2,0.15,521.88
66,6,4130,5,6,4,0,1,3,0.01,346.06
27,73,3210,4,2,1,1,0,4,0,386.64
41,42,2330,6,1,2,0,1,3,0.16,405.64
28,62,2480,5,1,2,0,1,3,0.12,504.37
47,63,4060,2,4,2,1,1,4,0.23,474.55
43,43,2890,7,2,4,1,1,3,0.07,536.33
67,13,2460,4,5,3,1,1,4,0.24,489.24
24,1,2060,7,2,3,1,1,4,0.05,380.65
22,111,3740,6,4,3,0,1,3,0.13,270.6
22,50,4320,5,1,1,1,1,3,0.29,560.06
47,3,2620,2,0,2,0,1,2,0.12,277.71
28,75,2860,8,3,1,0,1,2,0.27,558.83
67,105,3210,6,3,3,0,1,5,0.27,577.54
50,37,2680,3,3,4,1,1,2,0.19,321.08
54,51,2720,5,1,3,1,0,1,0,313.33
62,101,2970,5,4,2,0,0,5,0,448.22
67,38,3950,7,2,2,1,1,4,0.13,422.47
23,61,2790,8,1,1,1,1,2,0.02,297.61
30,1,2760,2,4,1,0,1,5,0.03,196.01
28,6,3270,8,0,2,0,1,4,0.16,331.31
48,59,2430,5,2,2,1,1,3,0.06,433
58,106,2480,4,4,2,1,1,3,0.18,638.33
30,11,4660,10,3,3,0,1,4,0.29,517.58
31,106,2390,1,3,3,0,0,3,0,444.87
48,6,2810,2,4,3,1,1,1,0.11,431.6
33,111,3500,4,1,4,0,0,2,0,300.77
55,117,1930,6,3,2,1,1,4,0.04,563.85
31,113,1750,7,1,2,1,1,4,0.22,363.95
51,25,2370,3,4,3,0,1,1,0.05,449.64
31,52,3620,1,3,4,1,1,2,0.23,342.33
42,67,2860,3,0,1,0,1,5,0.15,490.34
33,7,2080,4,4,4,1,1,5,0.01,138.49
60,75,3350,5,0,1,1,1,4,0.06,646.36
56,76,2440,8,4,2,1,1,4,0.24,627.12
57,92,3540,3,1,4,1,1,2,0.19,477.14
65,82,4310,4,1,4,1,0,4,0,407.2
52,100,3100,2,3,2,0,0,4,0,366.15
67,33,3420,6,0,1,0,1,4,0.17,429.55
58,65,3300,1,2,2,1,1,4,0.12,264.98
24,74,3290,5,1,1,1,1,4,0.08,425.86
54,44,2840,9,2,2,0,0,4,0,349.21
18,2,4410,3,1,1,1,1,4,0.29,145.81
37,117,3430,5,1,3,1,1,2,0.25,685.35
46,63,3160,5,3,4,0,1,4,0.02,396.13
68,27,3760,5,2,4,0,1,5,0.08,519.38
39,119,3810,8,4,1,1,1,3,0.27,682.64
24,4,4770,5,1,1,1,1,4,0.08,337.73
53,108,3680,2,3,4,1,0,4,0,464.61
53,98,2980,3,2,2,0,1,2,0.04,293.14
31,7,3190,3,2,4,0,1,4,0.27,267.83
38,76,3710,1,0,1,1,1,3,0.05,391.89
39,42,2490,4,1,4,0,1,1,0.25,394.36
43,17,1910,2,0,4,1,1,4,0.22,545.62
27,35,4120,1,4,4,1,1,4,0.09,439.83
47,38,2580,10,3,4,0,1,3,0.19,451.31
51,88,2820,1,0,4,0,1,4,0.18,359.18
42,24,1530,5,0,3,0,1,4,0.11,383.25
57,115,4080,6,1,3,0,1,4,0.03,506.99
59,73,2220,7,1,3,1,1,3,0.28,583.2
46,54,3350,6,1,2,0,1,2,0.14,315.58
55,49,2700,6,2,3,0,1,4,0.13,464.04
24,71,2480,4,2,1,1,1,5,0.03,356.72
60,62,3350,5,2,4,1,1,2,0.27,605.68
37,4,2590,3,1,3,0,0,4,0,252.3
56,36,2940,6,3,4,1,1,4,0.27,551.74
36,28,3040,5,1,4,1,1,4,0.29,376.73
19,48,1920,4,1,3,0,1,5,0.2,425.67
20,81,5010,6,0,3,1,1,3,0.14,490.43
51,97,3280,2,3,1,0,1,5,0.24,660.53
45,21,4500,6,3,1,1,1,4,0.14,555.21
53,64,2500,4,4,3,0,1,2,0.2,349.91
52,101,2780,5,3,4,0,0,3,0,433.25
56,43,3450,11,2,2,1,1,3,0.13,508.95
41,35,5120,6,2,4,0,1,2,0.03,546.38
22,44,2200,5,3,2,1,1,4,0.12,455.45
18,39,2690,9,1,1,1,1,1,0.22,457.44
67,77,3900,1,3,1,1,1,1,0.26,459.41
60,51,2690,2,3,2,0,0,4,0,359.19
29,108,2160,2,3,4,0,1,4,0.29,327.78
27,108,3420,11,1,1,0,1,5,0.28,509.93
52,91,2100,4,0,3,1,1,5,0.15,547.63
19,51,3100,6,0,4,0,1,1,0.27,533.31
68,23,3160,6,3,2,1,0,4,0,598.18
19,65,3860,5,1,4,0,1,4,0.14,445.98
36,63,800,6,2,1,1,1,4,0.18,480.78
25,57,2130,6,1,2,0,1,4,0.12,513.48
49,67,2820,5,2,1,0,1,4,0.24,384.52
56,39,2320,5,0,2,1,1,4,0.1,523.6
35,68,2310,5,3,2,1,1,4,0.13,508.01
65,39,2940,8,2,2,1,0,4,0,529.57
20,74,3330,3,2,4,1,1,4,0.19,294.37
35,16,2700,2,1,2,1,1,4,0.21,345.48
60,9,3500,2,1,3,0,1,4,0.02,271.99
31,54,3000,2,3,1,0,1,3,0.1,199.44
24,78,2170,7,2,4,1,1,3,0.15,347.15
68,93,4190,6,3,2,0,1,5,0,572.64
33,17,3210,1,0,4,0,1,3,0.3,358.81
64,97,2030,9,4,4,1,1,5,0.19,567.54
67,78,2690,5,2,3,1,1,4,0.06,513.81
65,54,3600,1,4,1,0,1,4,0.02,492.43
19,36,3670,5,0,4,0,1,5,0.15,164.7
40,11,4340,3,4,1,0,0,4,0,285.93
46,28,3950,3,2,4,0,1,4,0.24,433.22
34,49,2810,5,2,4,0,1,5,0.21,339.77
47,106,2990,5,3,3,1,1,4,0.28,498.83
61,7,3790,5,3,2,1,1,3,0.08,282.48
51,30,1730,6,2,3,1,1,4,0.12,193.23
45,48,3990,8,2,2,1,1,3,0.1,620.46
29,18,3750,4,1,1,1,0,3,0,355.27
24,52,2810,3,2,1,0,1,3,0.02,353.99
43,49,1490,8,4,4,0,1,5,0.28,448.82
60,36,4290,8,1,3,1,1,5,0.19,463.15
45,58,2930,6,4,1,0,1,3,0.16,628.02
37,72,3770,5,3,1,0,1,2,0.3,393.91
43,42,1540,4,0,3,0,0,5,0,338.31
65,108,3910,5,1,3,1,1,1,0.13,738.61
54,57,4810,4,1,1,0,0,5,0,415.18
49,70,4600,7,1,1,0,1,1,0.24,471.56
61,66,2990,8,5,2,1,1,4,0.3,574.35
61,99,3930,5,3,2,1,0,3,0,524.21
49,58,2680,9,4,4,0,1,3,0.04,582.13
48,102,2420,5,1,2,1,1,4,0.05,433.84
46,95,2060,8,3,2,0,1,5,0.08,564.07
35,88,3450,3,2,3,1,1,4,0.27,526.12
29,109,2370,4,1,3,1,1,1,0.27,454.3
39,40,2180,3,4,2,1,0,1,0,320.31
26,24,4050,5,4,2,1,1,4,0.26,273.21
23,54,3730,4,4,2,0,1,3,0.11,309.29
27,102,1960,5,1,4,1,1,3,0.04,431.37
36,66,2940,6,3,2,0,1,4,0.13,571.47
68,26,1880,2,1,1,1,1,5,0.03,416.22
20,53,4220,7,4,4,0,0,1,0,432.13
49,85,3870,7,3,3,0,1,3,0.23,419.57
36,61,1940,6,2,1,1,0,3,0,340.62
51,98,2310,2,3,4,1,1,4,0.21,610.73
21,12,3580,5,2,4,0,1,3,0.11,414.91
40,101,3090,9,1,1,1,1,3,0.27,672.32
66,103,1480,3,3,3,0,1,1,0.16,476.22
62,63,2590,4,0,3,1,1,4,0.11,425.58
68,35,3700,2,1,3,1,1,3,0.11,303.11
20,65,2540,2,4,2,0,0,4,0,233.37
55,35,3150,5,1,3,1,1,4,0.06,538.96
52,109,3520,4,2,2,1,1,1,0.21,603.56
19,36,3300,3,3,2,1,1,3,0.02,241.08
20,75,4440,3,1,4,1,1,5,0.16,527.31
36,14,2390,4,2,2,0,0,4,0,439.59
34,87,3500,4,1,3,0,1,4,0.15,666.27
60,15,3560,5,3,4,1,1,2,0.11,337.93
57,65,1890,2,2,3,0,1,3,0.23,485.13
20,69,3830,7,1,4,1,1,2,0.25,504.87
54,105,3010,1,0,1,1,1,1,0.13,650.76
45,92,3990,7,3,2,1,1,5,0.06,532.06
59,92,2190,4,0,4,1,1,5,0.2,708.93
30,65,2740,2,2,1,0,1,3,0.18,447.06
25,87,3790,3,2,4,1,1,5,0.11,504.56
66,22,2820,5,2,4,0,1,4,0.13,340.97
57,40,4430,8,2,1,1,1,5,0.27,647.99
18,41,3660,3,2,4,0,0,4,0,279.83
64,44,2440,9,1,1,0,1,4,0.2,441.19
69,53,2730,4,0,3,1,1,4,0.1,567.89
57,95,3840,2,6,3,0,1,3,0.29,563.62
32,37,3090,5,0,1,0,1,4,0.29,286.1
24,57,3020,8,5,2,1,1,1,0.15,491.31
62,68,3180,6,2,1,1,1,3,0.06,548.85
52,74,2460,3,7,3,1,1,4,0.18,421.84
55,4,3630,6,3,1,0,1,4,0.19,318.6
44,64,4140,4,0,3,0,1,1,0.2,578.43
24,64,2210,10,1,3,0,1,4,0.3,655.6
20,56,2200,3,1,2,0,0,4,0,260.64
23,38,1990,8,5,1,1,1,4,0.12,267.33
42,118,2930,3,1,1,1,1,3,0.25,516.41
45,59,4240,8,1,3,1,1,1,0.08,363.46
62,23,2140,3,1,2,0,1,4,0.24,620.2
44,61,1840,3,4,2,1,1,4,0.19,350.44
40,7,3040,3,1,1,0,1,5,0.09,414.94
44,78,2230,7,2,2,0,1,2,0.01,615.24
40,11,3210,8,0,4,0,1,5,0.23,397.28
28,7,3460,6,5,3,0,0,3,0,266.43
43,16,3960,6,4,3,1,1,5,0.07,548.6
51,15,2090,2,1,1,1,1,5,0.05,371.39
63,109,1850,9,3,2,0,1,2,0.28,515.32
37,65,3180,9,3,3,1,1,4,0.17,359.87
51,95,2340,8,1,4,0,0,3,0,633.93
21,35,3860,6,1,4,0,1,3,0.21,562.74
37,77,2040,9,3,4,1,1,4,0.2,468.6
37,42,1230,3,5,2,0,1,3,0.21,213.04
21,54,2400,3,4,1,1,1,4,0.18,437.89
60,64,3100,8,0,3,1,1,2,0.09,403.31
22,39,2320,4,3,3,1,1,1,0.04,244.19
42,94,3770,1,2,1,0,1,4,0.06,476.39
60,105,3620,2,2,4,0,0,5,0,483.57
61,88,2310,1,0,3,1,1,4,0.25,483.94
30,1,3590,4,4,3,0,0,5,0,177.1
48,42,2860,3,1,3,1,0,1,0,433.92
37,2,2980,6,1,4,0,1,2,0.17,254.14
60,101,3090,2,0,1,1,0,5,0,271.62
40,84,4520,5,3,2,0,1,2,0.27,833.22
59,72,2290,6,2,2,1,1,3,0.13,335.84
36,99,2700,2,5,4,1,1,4,0.25,555.11
35,3,2410,3,3,2,1,1,3,0.05,417.88
56,78,1550,5,2,3,0,1,3,0.04,445.85
31,69,2760,5,1,3,0,1,4,0.2,500.56
36,50,3860,5,0,3,1,1,5,0.26,538.95
30,4,3490,4,1,3,0,1,5,0.08,347.4
22,28,2100,6,1,2,0,1,3,0.18,384.12
37,95,2240,5,2,4,0,1,4,0.04,472.76
44,51,3850,6,2,4,0,1,3,0.24,400.78
20,103,2010,7,2,4,0,1,4,0.01,386.03
68,6,3220,7,2,4,1,1,2,0.06,205.87
51,57,1960,6,4,4,1,1,5,0.18,622.13
40,5,2680,3,1,1,1,1,4,0.25,416.48
30,36,3150,5,3,2,1,1,3,0.06,277.21
46,110,2590,5,1,2,1,1,1,0.04,384.31
37,4,2860,4,0,2,0,1,3,0.2,281.06
24,64,2630,2,1,2,0,1,3,0.07,413.55
32,74,2210,3,3,4,0,1,1,0.24,586.24
45,92,4330,3,2,4,0,1,2,0.01,402.4
19,2,3560,6,0,3,0,1,3,0.01,225.83
52,58,3390,1,2,4,0,0,3,0,359.06
51,70,2430,6,2,4,1,1,5,0.1,478.61
68,14,3450,4,0,1,1,1,3,0.23,658.28
59,76,2520,2,1,2,1,1,4,0.09,585.43
57,27,3590,2,0,2,1,1,3,0.26,466.19
59,116,4180,3,3,1,1,1,4,0.07,619.66
44,44,2160,6,2,1,0,1,5,0.28,245.44
65,81,3380,7,2,3,1,1,4,0.03,426.18
62,59,2320,6,1,1,0,1,4,0.05,520.67
26,58,2340,7,2,2,0,1,2,0.19,360.57
59,73,4170,8,1,2,1,1,3,0.22,549.81
52,38,3360,2,5,4,0,1,5,0.3,484.19
68,20,2540,10,1,2,1,1,3,0.09,492.11
34,84,2650,5,4,3,1,1,1,0.13,314.63
35,22,4430,8,1,2,0,1,4,0.18,538.93
68,92,3190,5,1,2,0,1,5,0.17,675.4
46,116,4020,4,4,1,0,1,1,0.25,415.71
36,61,1620,4,4,2,1,1,4,0.02,441.05
38,108,2570,5,3,1,0,1,5,0.27,485.88
25,78,3970,7,2,4,0,1,2,0.07,435.46
53,111,3650,4,1,2,0,1,4,0.05,483.63
54,106,4230,2,0,2,0,1,3,0.05,511.39
53,37,3430,4,2,3,1,1,5,0.03,450.07
62,58,3490,7,1,1,1,1,3,0.14,414.59
33,79,4210,3,0,1,0,1,1,0.04,307.63
52,9,1440,3,1,1,0,0,4,0,132.57
25,27,1970,8,0,4,0,0,4,0,277.81
51,102,3600,4,2,2,1,1,3,0.04,648.58
67,117,3790,2,6,1,1,1,5,0.21,581.97
23,73,2740,6,1,2,0,1,3,0.09,261.34
27,13,3130,6,2,1,1,1,5,0.19,482.15
32,70,3230,2,4,4,0,1,2,0.29,504.38
62,91,3380,5,1,1,1,0,1,0,618.96
22,52,3640,8,4,4,1,1,4,0.18,378.05
67,89,2670,3,1,2,1,1,3,0.23,635.87
48,97,2500,6,0,3,1,1,5,0.22,421.74
50,103,2270,5,3,3,0,1,4,0.26,345.23
48,96,2790,4,1,3,0,0,4,0,444.9
40,64,4570,8,2,3,1,1,2,0.25,515.09
37,15,2720,5,3,3,1,1,5,0.15,312
59,91,2520,8,1,2,1,1,4,0.01,523.26
55,68,3580,5,2,4,1,1,4,0.09,500.15
60,27,3350,2,2,3,0,1,1,0.05,449.64
57,35,3260,3,3,3,0,1,3,0.28,545.5
40,47,4320,6,1,4,1,1,1,0.11,426.92
56,79,3130,5,3,2,0,0,3,0,452.23
36,71,2960,5,2,2,1,1,2,0.01,481.38
27,101,2470,7,2,2,0,1,4,0.05,472.84
35,4,3390,4,1,1,0,0,5,0,262.9
21,67,2400,7,1,1,0,1,4,0.22,484.34
68,28,3270,8,3,3,1,1,3,0.17,407.13
28,24,2720,8,0,2,1,1,5,0.02,458.76
27,79,2790,9,4,1,1,1,5,0.06,375.43
61,118,4540,4,0,1,0,0,2,0,713.46
26,112,1770,4,2,4,1,1,4,0.01,510.46
40,91,3060,3,2,4,1,1,4,0.18,539.97
59,67,3590,0,2,2,0,1,5,0,541.29
63,21,3050,12,2,4,1,0,4,0,390.64
65,49,3590,5,5,2,0,0,4,0,574.97
46,62,2580,4,1,4,0,1,2,0.28,474.69
49,65,1760,6,0,1,1,1,2,0.04,391.81
38,80,1130,5,1,3,0,1,4,0.23,520.73
69,115,3160,8,3,2,1,1,4,0.28,605.76
38,89,3440,3,2,3,0,1,5,0.17,684.76
29,66,1590,5,4,4,1,1,2,0.22,362.99
50,12,2970,8,1,1,1,1,3,0.18,341.59
26,87,2730,3,3,1,1,1,2,0.04,275.13
36,97,3490,5,1,4,0,1,4,0.22,543.59
30,114,2560,4,2,3,0,1,5,0.07,287.49
19,91,3280,5,1,4,0,1,4,0.17,339.29
35,90,3800,4,3,2,0,1,5,0.06,415.24
59,78,3800,8,2,4,0,1,4,0.29,674.31
56,38,3350,8,5,1,0,0,4,0,426.64
57,56,2110,6,3,4,0,0,3,0,335.75
18,44,2820,4,1,2,0,1,3,0,264.72
55,43,2410,2,2,4,1,1,4,0.12,498.99
69,72,3140,6,4,3,0,1,4,0.2,552.36
51,70,3860,9,0,1,0,1,5,0.04,670.4
42,117,3290,3,2,3,0,1,5,0.09,684.13
67,104,2690,7,1,4,0,0,5,0,643.08
38,4,3490,3,1,1,0,0,3,0,348.08
64,5,1930,3,2,4,0,1,5,0.16,296.13
46,50,2990,5,1,1,0,1,1,0.06,454.07
21,40,2930,10,3,3,0,1,1,0.25,181.56
44,17,3070,6,0,2,1,1,4,0.21,398.36
36,68,3610,4,0,2,1,1,3,0.23,621.3
49,57,3180,3,3,2,0,1,3,0.3,430.37
35,71,2260,8,2,1,1,1,2,0.09,575.32
32,105,4150,5,2,3,0,1,5,0.15,674.26
69,64,3080,3,0,1,1,1,4,0.13,566.41
25,59,2840,5,3,2,1,1,4,0.03,407.9
69,116,4240,4,3,3,0,1,5,0.22,697.06
27,16,3220,5,2,2,0,1,2,0.26,332.93
30,45,2460,5,3,3,1,1,4,0.24,296.18
22,8,4130,1,0,2,1,1,5,0.13,436.58
40,37,3430,6,2,4,0,1,3,0.23,473.41
27,112,2720,5,1,3,0,1,5,0.22,447.53
30,62,3610,5,4,1,1,1,3,0.11,464.09
45,19,2430,2,4,4,0,1,1,0.14,316.66
46,17,2750,4,2,3,0,1,3,0.23,383.27
55,116,3110,2,1,3,0,0,2,0,317.99
44,51,3440,8,3,3,1,1,5,0.27,548.65
31,38,3550,3,1,2,0,1,3,0.07,409.43
42,92,3920,7,2,4,0,0,5,0,443.98
43,117,2490,6,1,3,1,1,3,0.29,810.28
68,114,2590,3,3,1,1,0,1,0,511.93
41,27,2310,8,5,3,1,0,2,0,408.02
52,100,2290,7,0,1,1,1,5,0.02,602.13
48,111,1400,3,2,3,1,1,4,0.26,542.77
47,24,3230,5,1,2,0,0,4,0,155.8
47,10,3620,5,1,3,1,1,2,0.12,270.63
59,68,2590,2,1,4,0,1,1,0.05,541.83
52,17,4820,6,0,3,1,1,2,0.09,399.65
32,72,1870,2,0,3,1,0,4,0,316.09
66,26,4240,1,0,3,0,0,3,0,130.36
54,118,3010,7,1,1,0,1,4,0.1,477.58
61,25,2460,6,4,4,1,1,3,0,431.95
68,29,2710,5,0,3,1,0,5,0,329.12
23,6,2720,7,4,4,0,1,2,0.29,380.68
24,96,2400,7,3,4,1,1,1,0.01,382.99
45,40,1830,3,1,2,0,1,1,0.22,240.29
