Age,Department,Salary,YearsAtCompany,WorkLifeBalance,JobInvolvement,PerformanceRating,TrainingTimesLastYear,Satisfaction
53,Marketing,4388,11,5,4,4,3,1
58,Marketing,3303,18,4,1,2,1,0
33,IT,4843,8,4,5,2,4,1
34,IT,4495,6,5,3,4,4,1
44,IT,4038,13,5,4,3,3,1
46,IT,4154,18,2,5,5,2,1
56,Finance,6041,18,5,3,4,3,1
51,Sales,4942,1,2,2,4,4,0
38,HR,6199,8,2,4,4,0,1
41,Marketing,4532,12,2,2,3,0,0
46,Finance,2528,14,4,1,3,1,0
43,HR,3737,2,4,2,3,1,0
34,Finance,2299,10,5,2,5,0,1
40,Finance,4528,13,4,4,2,4,1
57,Marketing,4745,7,5,1,5,1,1
33,Sales,3114,17,4,2,3,3,0
40,IT,3344,18,1,5,2,3,0
33,Sales,4148,15,1,3,2,4,0
30,Marketing,2801,1,5,2,3,1,0
28,Marketing,2726,7,4,1,3,3,0
49,Marketing,5238,5,4,2,5,1,1
35,HR,4114,11,2,3,3,1,0
52,Sales,3441,14,3,1,2,3,0
40,Sales,2307,7,5,4,4,0,1
37,Finance,4852,3,3,1,3,3,0
26,Finance,3315,14,3,4,3,4,0
56,Finance,5860,19,5,1,5,2,1
33,Marketing,4859,16,4,3,5,3,1
46,Sales,3191,12,5,3,3,1,0
42,Marketing,3284,17,3,1,2,1,0
57,HR,5721,1,4,2,2,3,0
44,Finance,3915,12,1,3,4,2,1
37,Marketing,3486,12,5,4,3,3,0
35,Marketing,4027,14,5,4,5,2,1
52,HR,3482,19,4,5,2,2,0
26,IT,4241,9,1,4,4,4,1
56,Sales,3924,2,1,5,3,1,0
44,IT,4875,18,4,1,2,1,1
50,Finance,3611,2,2,1,3,2,0
32,Marketing,3115,13,5,1,3,1,0
39,HR,3651,7,5,2,2,0,1
33,HR,3644,3,3,2,2,2,0
30,Sales,3922,19,4,5,2,1,1
31,IT,4634,10,3,4,3,0,0
38,Sales,4579,10,3,4,3,4,0
59,Marketing,5199,10,1,1,4,1,1
28,Sales,3188,1,5,3,5,0,0
34,HR,4388,16,3,2,3,3,0
30,HR,4727,8,1,2,5,3,1
48,Finance,3325,1,4,1,2,0,0
23,Finance,3792,14,3,2,3,2,0
26,Marketing,2250,15,5,1,4,2,1
50,IT,4906,3,3,5,4,1,0
58,Sales,3784,7,4,4,5,3,1
59,Marketing,4806,8,3,3,2,2,0
40,Finance,4206,4,5,4,5,2,1
29,Sales,3814,15,1,4,2,3,0
22,Finance,2407,12,5,5,4,4,1
43,Sales,2585,6,1,2,5,2,0
38,IT,1406,19,2,3,4,0,0
28,Marketing,3437,16,5,2,4,1,1
46,Sales,6278,2,5,4,2,2,0
25,HR,2712,4,4,1,5,2,0
57,HR,1368,18,3,4,5,4,0
27,Sales,4962,11,1,2,4,0,1
52,Sales,6363,6,1,4,4,1,1
40,Sales,4297,8,4,1,2,2,1
48,HR,4288,5,4,5,3,1,0
31,HR,3690,16,3,2,3,3,0
47,Sales,2205,15,3,4,4,2,0
40,Finance,2549,2,5,2,3,2,0
24,Finance,3683,3,2,5,3,3,0
34,IT,3491,9,3,4,3,4,0
49,Marketing,3884,4,4,4,3,2,0
41,Finance,4829,9,3,2,4,1,1
49,HR,3418,11,1,2,3,0,0
29,Finance,4849,9,2,1,3,1,0
22,IT,3424,12,5,5,2,4,0
24,IT,5038,10,1,1,4,0,1
34,Marketing,4086,15,1,4,5,1,1
49,Finance,3564,7,2,2,5,1,1
46,HR,4069,7,5,4,2,3,1
54,HR,3706,7,4,4,2,4,1
59,Sales,4113,12,5,3,4,3,1
27,HR,4758,1,3,3,5,0,0
53,Marketing,3912,11,1,4,3,3,0
42,Marketing,3630,9,3,2,2,4,0
37,HR,2876,11,4,4,5,2,1
42,HR,4579,10,3,3,4,2,1
32,Sales,4348,14,5,2,3,0,1
58,HR,2818,15,3,4,4,2,0
57,Sales,4835,16,4,5,2,3,1
56,Sales,2801,1,4,5,5,0,0
40,HR,5029,17,4,4,5,4,1
41,IT,4687,11,5,2,5,0,1
39,IT,4419,18,4,4,5,0,1
35,Sales,3623,17,1,4,3,1,0
36,HR,4575,16,4,3,3,1,1
52,IT,5076,5,3,5,4,0,0
22,HR,4592,14,3,3,3,2,0
24,HR,3329,2,3,3,2,1,0
37,HR,4267,5,5,4,2,4,0
44,Finance,5132,2,3,3,5,3,0
32,HR,6199,0,5,5,2,1,0
33,Finance,3794,12,5,3,4,0,1
31,Sales,4857,13,4,5,3,2,1
53,IT,5134,12,1,3,3,3,0
37,IT,3187,3,4,5,3,1,0
29,IT,5782,6,4,3,2,2,1
59,IT,2934,9,5,3,3,2,0
33,IT,4808,6,5,2,5,2,1
45,IT,4305,14,3,5,5,0,1
49,IT,4055,14,3,5,5,4,1
29,Sales,6546,3,4,5,2,2,0
49,HR,3698,5,2,1,3,3,0
57,Marketing,3682,19,2,3,2,1,0
47,Finance,5331,4,3,5,3,3,0
29,Marketing,4761,19,2,1,4,0,1
49,Marketing,5282,11,3,2,4,0,1
49,HR,4116,0,5,5,2,3,0
58,HR,4316,7,4,5,5,4,1
57,HR,5900,0,1,1,2,0,0
48,IT,3164,4,4,3,5,0,0
38,Sales,3897,5,3,2,3,3,0
30,IT,4798,2,3,5,5,0,0
54,Sales,3804,14,4,3,5,4,1
41,Sales,3429,4,3,2,3,4,0
34,Marketing,4618,13,2,4,4,4,1
49,Marketing,5335,17,2,4,3,1,0
50,Sales,3859,15,3,2,2,4,0
34,Sales,3831,5,3,1,2,4,0
56,IT,3352,13,2,2,2,1,0
27,IT,3704,7,3,2,2,2,0
39,Marketing,5083,6,3,1,2,0,0
26,HR,4081,7,4,1,4,4,1
46,Sales,3195,12,1,3,4,0,0
23,IT,4262,5,2,3,5,3,0
31,Marketing,5051,17,4,1,2,0,1
51,IT,3438,1,1,4,3,1,0
26,Sales,2671,7,3,4,2,0,0
54,Sales,6190,10,3,2,4,0,1
22,Finance,2621,0,4,5,2,0,0
39,HR,3640,5,3,2,4,2,0
53,Finance,4232,15,5,2,5,2,1
32,Marketing,3727,19,4,5,5,3,1
42,IT,3925,11,1,1,5,1,1
47,Marketing,4576,10,4,4,4,0,1
46,Sales,1608,9,2,2,2,0,0
43,Finance,2733,2,4,5,2,0,0
48,Finance,4044,12,3,3,3,0,0
34,Finance,3595,2,3,2,4,2,0
54,Marketing,4129,14,5,4,3,3,1
55,Sales,4227,15,5,1,5,4,1
56,IT,1884,12,5,2,2,1,0
22,IT,5273,16,1,2,4,0,1
42,Marketing,3501,2,5,5,3,3,0
27,Finance,3134,19,1,3,3,4,0
49,HR,4208,10,5,3,3,3,1
38,Marketing,4107,18,1,1,2,2,0
26,Marketing,5196,10,4,4,2,4,1
52,Sales,4271,15,4,1,2,3,1
26,IT,5158,2,3,2,4,2,0
59,Marketing,3061,5,1,2,2,3,0
24,Marketing,4141,13,2,3,4,3,1
44,Finance,2885,17,3,4,3,4,0
58,Finance,4097,16,4,5,3,2,1
58,HR,3885,3,1,4,5,0,0
31,Sales,3842,14,5,2,2,1,1
31,HR,3851,10,2,5,3,4,0
40,Finance,4736,2,4,4,2,2,0
38,IT,2392,2,3,4,4,3,0
42,Finance,3100,15,1,5,3,2,0
35,Sales,3959,4,2,2,2,1,0
30,Finance,2821,9,1,4,3,1,0
22,Sales,4046,18,5,5,3,0,1
34,Sales,3949,3,3,2,2,0,0
25,Sales,2596,18,1,5,3,1,0
22,Sales,2546,10,4,5,3,4,0
53,Sales,1376,1,3,4,3,4,0
55,IT,2779,9,4,2,3,3,0
49,HR,4014,10,1,4,4,0,1
52,Marketing,4156,19,3,1,3,3,0
29,HR,4201,15,4,1,5,0,1
47,Sales,3222,18,5,2,3,1,0
55,IT,3981,10,5,5,2,4,1
24,Finance,4397,13,1,4,5,4,1
33,IT,2731,1,3,4,4,1,0
22,Sales,4123,4,2,2,5,3,0
26,IT,4656,4,3,2,5,3,0
51,IT,3509,18,5,1,5,2,1
51,Sales,5062,11,4,3,2,0,1
38,IT,3532,17,2,2,2,3,0
44,Marketing,3139,3,1,3,2,1,0
36,Marketing,4556,16,2,2,4,3,1
58,IT,6033,9,1,5,2,4,0
42,Finance,4085,19,2,5,2,0,0
35,Sales,4634,5,1,1,5,2,0
23,Marketing,3491,13,1,1,2,0,0
32,Finance,2758,10,2,3,3,4,0
59,IT,4166,10,2,2,2,4,0
55,Finance,4324,17,1,4,4,4,1
59,HR,3642,17,5,1,4,4,1
55,Marketing,4631,10,2,4,3,1,0
39,IT,3345,11,3,4,4,2,0
51,Sales,3097,4,4,2,4,4,0
36,IT,5060,8,1,3,5,4,1
48,Sales,5065,8,1,2,3,3,0
55,IT,3365,9,4,1,5,2,1
59,Finance,5718,18,5,4,5,0,1
54,Finance,3712,0,4,2,2,2,0
45,Finance,4084,6,2,2,3,2,0
36,HR,3915,3,4,2,2,2,0
51,Sales,4523,0,1,1,2,4,0
38,Finance,4271,14,4,3,5,4,1
26,HR,4257,7,3,2,4,1,1
50,Sales,2980,11,2,1,3,0,0
25,IT,2311,17,4,4,4,3,1
